FIPS_VTD,Precinct Name,FIPS,PRCT,LEG,7am,EDR,Ballots,CongIR,CongDFL,CongOther,MNLegIR,MNLegDFL,MNLegOther,GovIR,GovDFL,GovRP,GovOther,SOSIR,SOSDFL,SOSRP,SOSOther,AGIR,AGDFL,AGRP,AGOther,AudIR,AudDFL,AudMTP,AudOther,TreasIR,TreasDFL,TreasRP,TreasOther
0010005,AITKIN,001,0005,03B,1071,89,881,239,534,108,341,502,38,286,274,297,24,352,379,65,85,341,425,47,68,365,393,38,85,316,416,79,70
0010010,AITKIN TWP.,001,0010,03B,580,73,524,186,278,60,252,244,28,210,114,196,4,261,177,48,38,241,222,28,33,268,188,30,38,232,213,42,37
0010015,BALL BLUFF TWP.,001,0015,03B,204,25,174,37,117,20,64,104,6,38,64,70,2,61,85,17,11,53,98,11,12,46,95,12,21,51,93,16,14
0010020,BALSAM TWP.,001,0020,03B,18,1,16,0,16,0,1,14,1,2,5,9,0,1,12,2,1,3,12,0,1,3,13,0,0,2,12,1,1
0010025,BEAVER TWP.,001,0025,08B,34,6,32,3,23,6,4,27,1,3,14,15,0,4,25,2,1,4,23,2,3,3,24,2,3,3,25,2,2
0010030,CLARK TWP.,001,0030,08B,99,6,77,14,57,6,19,53,5,17,30,30,0,28,39,6,4,24,50,2,1,22,47,2,6,26,40,3,8
0010035,CORNISH TWP.,001,0035,03B,21,1,16,4,10,2,9,5,2,6,6,4,0,8,5,2,1,6,7,2,1,10,4,0,2,9,5,1,1
0010040,FARM ISLAND TWP.,001,0040,08B,634,66,553,171,325,57,245,283,25,191,164,191,7,240,235,52,26,214,291,23,25,253,229,34,37,202,266,44,41
0010045,FLEMING TWP.,001,0045,03B,250,17,200,60,114,26,80,115,5,56,59,84,1,75,90,25,10,76,105,15,4,85,92,14,9,72,97,23,8
0010050,GLEN TWP.,001,0050,08B,270,33,255,61,160,34,84,162,9,68,83,99,5,84,129,26,16,79,147,21,8,88,135,18,14,71,144,24,16
0010055,HAUGEN TWP.,001,0055,08B,106,3,87,26,55,6,31,53,3,18,29,39,1,24,43,14,6,27,50,5,5,28,46,1,12,28,41,10,8
0010060,HAZELTON TWP.,001,0060,08B,462,34,367,132,203,32,163,193,11,134,126,104,3,169,169,17,12,159,187,7,14,167,166,14,20,146,176,27,18
0010065,HILL CITY,001,0065,03B,326,34,242,49,171,22,100,137,5,69,91,81,1,80,125,21,16,61,151,15,15,79,127,14,22,64,141,27,10
0010070,HILL LAKE TWP.,001,0070,03B,282,27,227,60,153,14,96,124,7,103,74,47,3,100,105,13,9,86,120,10,11,85,111,15,16,82,119,12,14
0010075,IDUN TWP.,001,0075,08B,127,6,102,14,60,28,28,65,9,19,26,54,3,25,46,17,14,23,58,12,9,33,52,8,9,19,52,21,10
0010080,JEVNE TWP.,001,0080,03B,189,15,149,38,86,25,50,96,3,43,47,58,1,59,65,16,9,53,74,15,7,52,68,14,15,44,75,17,13
0010085,KIMBERLY TWP.,001,0085,08B,156,13,129,29,86,14,51,73,5,39,27,62,1,48,58,17,6,45,70,12,2,54,58,7,10,38,69,17,5
0010090,LAKESIDE TWP.,001,0090,08B,335,39,278,74,154,50,111,162,5,81,58,137,2,104,111,48,15,97,144,24,13,109,124,26,19,99,124,38,17
0010095,LEE TWP.,001,0095,08B,32,1,30,10,14,6,14,12,4,8,7,15,0,16,10,2,2,9,15,4,2,17,8,1,4,11,12,4,3
0010100,LIBBY TWP. E,001,0100,03B,25,0,15,4,10,1,5,9,1,8,4,3,0,9,6,0,0,7,8,0,0,6,7,2,0,7,7,1,0
0010105,LIBBY TWP. W,001,0105,03B,14,1,12,1,9,2,3,7,2,0,6,6,0,1,7,1,3,2,6,0,4,3,6,0,3,1,7,0,4
0010110,LOGAN TWP.,001,0110,03B,160,12,131,31,76,24,44,83,4,34,31,64,2,45,61,18,7,37,73,10,11,47,68,5,11,42,62,17,10
0010115,MCGRATH,001,0115,08B,49,1,31,13,14,4,17,13,1,11,3,17,0,15,9,3,4,13,10,3,5,14,8,3,6,15,10,1,5
0010120,MCGREGOR,001,0120,08B,208,13,162,42,104,16,52,100,10,47,60,55,0,60,74,16,12,52,92,9,9,54,81,9,18,55,81,14,12
0010125,MCGREGOR TWP.,001,0125,08B,75,4,52,16,33,3,19,31,2,19,14,18,1,23,21,3,5,17,28,2,5,16,26,1,9,21,23,3,5
0010130,MACVILLE TWP.,001,0130,03B,156,9,124,22,88,14,45,77,2,37,36,48,3,40,63,12,9,32,76,9,7,30,74,10,10,34,71,10,9
0010132,MILLWARD TWP.,001,0132,08B,34,1,27,10,12,5,13,11,3,10,9,8,0,12,10,2,3,10,14,1,2,10,12,1,4,10,13,1,3
0010135,MALMO TWP.,001,0135,08B,204,0,171,40,112,19,51,109,11,56,45,69,1,63,78,15,15,56,94,8,13,58,88,11,14,46,90,17,18
0010140,MORRISON TWP.,001,0140,03B,109,14,99,30,55,14,43,50,6,36,24,37,2,35,41,16,7,37,48,7,7,49,38,7,5,43,37,10,9
0010145,NORDLAND TWP.,001,0145,08B,557,56,493,152,303,38,208,270,15,178,148,162,5,208,234,33,18,197,251,24,21,217,229,27,20,186,234,48,25
0010150,PALISADE,001,0150,03B,91,14,69,12,44,13,17,50,2,11,21,37,0,18,37,9,5,16,45,5,3,22,37,4,6,14,42,9,4
0010155,PLINY TWP.,001,0155,08B,72,7,61,19,34,8,28,32,1,12,15,34,0,24,24,11,2,21,30,4,6,25,28,4,4,18,28,10,5
0010160,RICE RIVER TWP.,001,0160,08B,88,6,78,17,49,12,22,52,4,22,23,30,3,29,34,9,6,25,42,3,8,21,37,9,11,26,39,7,6
0010165,SALO TWP.,001,0165,08B,62,6,54,8,37,9,15,37,2,8,17,29,0,10,29,8,7,11,35,5,3,13,30,2,9,9,33,5,7
0010170,SEAVEY TWP.,001,0170,08B,43,4,34,11,17,6,16,18,0,10,5,19,0,15,14,4,1,15,15,4,0,16,16,1,1,12,14,5,3
0010175,SHAMROCK TWP.,001,0175,08B,732,65,610,180,375,55,233,339,38,198,211,198,3,231,290,42,47,220,329,33,28,231,297,27,55,210,308,47,45
0010180,SPALDING TWP.,001,0180,08B,116,18,91,19,64,8,19,70,2,20,33,36,2,26,57,4,4,21,62,4,4,24,58,4,5,23,59,6,3
0010185,SPENCER TWP.,001,0185,03B,309,17,275,87,165,23,110,158,7,100,80,93,2,132,106,16,21,126,123,10,16,123,121,10,21,113,118,23,21
0010190,TAMARACK,001,0190,08B,46,3,34,9,17,8,10,22,2,9,9,15,1,12,14,4,4,10,16,4,4,8,19,3,4,6,17,6,5
0010195,TURNER TWP.,001,0195,03B,92,11,75,18,48,9,23,50,2,25,25,24,1,27,40,4,4,23,47,2,3,27,42,2,4,27,42,4,2
0010200,VERDON TWP.,001,0200,03B,31,6,33,14,16,3,18,13,2,12,13,6,2,17,13,1,2,17,13,0,3,16,13,1,3,13,13,2,5
0010205,WAGNER TWP.,001,0205,08B,178,23,152,44,99,9,74,77,1,50,39,62,1,60,72,11,9,55,86,6,5,53,79,9,11,49,78,15,10
0010210,WAUKENABO TWP.,001,0210,03B,257,18,212,55,130,27,81,120,11,60,73,76,3,71,95,22,24,72,109,15,16,81,95,12,24,73,102,18,19
0010215,WEALTHWOOD TWP.,001,0215,08B,169,13,147,30,93,24,48,90,9,31,42,72,2,39,82,14,12,37,87,12,11,43,77,12,15,35,83,17,12
0010220,WHITE PINE TWP.,001,0220,08B,51,2,39,7,26,6,11,26,2,13,11,15,0,11,22,5,1,11,23,5,0,10,20,5,4,12,20,6,1
0010225,WILLIAMS TWP.,001,0225,08B,70,13,63,15,34,14,29,31,3,14,11,37,1,20,25,12,6,20,28,11,4,22,27,6,8,16,29,13,5
0010230,WORKMAN TWP.,001,0230,03B,119,9,101,17,77,7,21,77,3,25,41,35,0,23,66,9,3,24,71,5,1,25,67,4,5,21,65,12,3
0030005,ANDOVER P-1,003,0005,50B,1405,179,1200,537,571,92,735,410,55,356,176,664,4,555,395,148,102,665,387,81,67,599,406,75,120,485,437,162,116
0030010,ANDOVER P-3,003,0010,50B,1861,215,1423,694,611,118,919,435,69,491,218,710,4,746,393,154,130,798,451,87,87,780,417,73,153,641,454,181,147
0030015,ANDOVER P-6,003,0015,50B,2157,389,1907,987,781,139,1283,523,101,748,255,899,5,1035,495,191,186,1139,548,101,119,1106,492,100,209,892,581,218,216
0030020,ANDOVER P-7,003,0020,50B,1326,156,1123,532,486,105,707,360,56,372,174,575,2,554,311,157,101,604,348,97,74,597,313,83,130,486,342,164,131
0030021,ANDOVER P-2,003,0021,50B,2126,284,1763,840,787,136,1155,524,84,628,300,825,10,938,487,177,161,1072,517,82,92,989,483,97,194,820,556,205,182
0030022,ANDOVER P-4,003,0022,50B,2074,247,1619,706,786,127,961,581,77,508,288,813,10,777,529,181,132,865,576,92,86,820,524,98,177,654,585,202,178
0030023,ANDOVER P-5,003,0023,50B,1793,465,1732,903,681,148,1131,512,89,626,266,830,10,974,424,183,151,1002,525,91,114,1041,421,87,183,817,493,226,196
