county_code,county,office,district,party,candidate,votes,pct
01,Aitkin,President,,DFL,Al Gore,3830,47.77
01,Aitkin,President,,GP,Ralph Nader,403,5.03
01,Aitkin,President,,LIB,Harry Browne,20,0.25
01,Aitkin,President,,R,George W. Bush,3755,46.83
01,Aitkin,President,,RP,Pat Buchanan,10,0.12
01,Aitkin,U.S. Senate,,DFL,Mark Dayton,4306,53.66
01,Aitkin,U.S. Senate,,IND,Jim Gibson,362,4.51
01,Aitkin,U.S. Senate,,R,Rod Grams,3357,41.83
02,Anoka,President,,DFL,Al Gore,68008,47.12
02,Anoka,President,,GP,Ralph Nader,6616,4.58
02,Anoka,President,,LIB,Harry Browne,286,0.20
02,Anoka,President,,R,George W. Bush,69256,47.99
02,Anoka,President,,RP,Pat Buchanan,150,0.10
02,Anoka,U.S. Senate,,DFL,Mark Dayton,64681,45.59
02,Anoka,U.S. Senate,,IND,Jim Gibson,9173,6.47
02,Anoka,U.S. Senate,,R,Rod Grams,68018,47.94
03,Becker,President,,DFL,Al Gore,5253,37.41
03,Becker,President,,GP,Ralph Nader,591,4.21
03,Becker,President,,LIB,Harry Browne,24,0.17
03,Becker,President,,R,George W. Bush,8152,58.06
03,Becker,President,,RP,Pat Buchanan,20,0.14
03,Becker,U.S. Senate,,DFL,Mark Dayton,6022,43.26
03,Becker,U.S. Senate,,IND,Jim Gibson,354,2.54
03,Becker,U.S. Senate,,R,Rod Grams,7543,54.19
04,Beltrami,President,,DFL,Al Gore,7301,43.01
04,Beltrami,President,,GP,Ralph Nader,1269,7.48
04,Beltrami,President,,LIB,Harry Browne,42,0.25
04,Beltrami,President,,R,George W. Bush,8346,49.17
04,Beltrami,President,,RP,Pat Buchanan,17,0.10
04,Beltrami,U.S. Senate,,DFL,Mark Dayton,8123,48.91
04,Beltrami,U.S. Senate,,IND,Jim Gibson,584,3.52
04,Beltrami,U.S. Senate,,R,Rod Grams,7902,47.58
05,Benton,President,,DFL,Al Gore,6009,41.20
05,Benton,President,,GP,Ralph Nader,862,5.91
05,Benton,President,,LIB,Harry Browne,35,0.24
05,Benton,President,,R,George W. Bush,7663,52.54
05,Benton,President,,RP,Pat Buchanan,17,0.12
05,Benton,U.S. Senate,,DFL,Mark Dayton,6396,44.09
05,Benton,U.S. Senate,,IND,Jim Gibson,955,6.58
05,Benton,U.S. Senate,,R,Rod Grams,7157,49.33
06,Big Stone,President,,DFL,Al Gore,1430,49.04
06,Big Stone,President,,GP,Ralph Nader,109,3.74
06,Big Stone,President,,LIB,Harry Browne,7,0.24
06,Big Stone,President,,R,George W. Bush,1370,46.98
06,Big Stone,U.S. Senate,,DFL,Mark Dayton,1621,55.72
06,Big Stone,U.S. Senate,,IND,Jim Gibson,111,3.82
