VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSWTP,USPRSG,USPRSSLP,USPRSSWP,USPRSJFA,USPRSIND,USPRSWI,USPRSTOTAL,USSENR,USSENDFL,USSENLIB,USSENIA,USSENWI,USSENTOTAL,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL
270010005,Aitkin,0005,Aitkin,Aitkin,1,8,10,10A,01,09,3001,no data,no data,no data,ImageCast Evolution,NO,1331,108,671,454,0,0,1125,657,437,3,14,4,0,0,1,1,3,1120,530,510,33,25,0,1098,632,459,0,1091,0,0,0,0,615,448,2,1065,873,193,59,1125
270010010,Aitkin Twp,0010,Aitkin Twp,Aitkin,1,8,10,10A,01,09,3001,no data,no data,no data,ImageCast Central,YES,643,36,0,584,0,0,584,390,182,2,6,1,0,0,0,0,0,581,339,212,8,11,3,573,402,170,0,572,0,0,0,0,399,165,2,566,404,136,44,584
270010015,Ball Bluff Twp,0015,Ball Bluff Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,203,4,0,177,0,0,177,103,66,1,3,0,0,0,0,0,2,175,90,81,3,1,0,175,112,61,1,174,0,0,0,0,112,59,0,171,119,51,7,177
270010020,Balsam Twp,0020,Balsam Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,22,0,0,19,0,0,19,10,9,0,0,0,0,0,0,0,0,19,8,10,0,0,0,18,11,8,0,19,0,0,0,0,12,6,0,18,13,6,0,19
270010025,Beaver Twp,0025,Beaver Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,51,1,0,41,0,0,41,21,19,0,0,0,0,0,0,0,1,41,21,20,0,0,0,41,21,20,0,41,0,0,0,0,21,19,0,40,31,7,3,41
270010030,Clark Twp,0030,Clark Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,99,3,73,15,0,0,88,56,32,0,0,0,0,0,0,0,0,88,50,37,0,0,0,87,57,29,0,86,0,0,0,0,54,32,0,86,45,39,4,88
270010035,Cornish Twp,0035,Cornish Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Central,YES,46,0,0,43,1,0,44,24,19,0,0,0,0,0,0,0,0,43,23,20,0,1,0,44,27,17,0,44,0,0,0,0,24,18,0,42,29,11,4,44
270010038,Unorg 47-24 (Davidson Unorg),0038,Davidson Unorg,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,33,1,0,28,0,0,28,14,11,1,2,0,0,0,0,0,0,28,14,12,1,1,0,28,16,12,0,28,0,0,0,0,15,13,0,28,22,5,1,28
270010040,Farm Island Twp,0040,Farm Island Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Evolution,NO,955,40,539,328,0,0,867,548,306,0,2,1,0,0,0,2,2,861,470,357,7,12,2,848,555,285,1,841,0,0,0,0,526,286,1,813,623,190,54,867
270010045,Fleming Twp,0045,Fleming Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,269,6,161,69,0,0,230,152,71,1,0,0,0,0,0,1,2,227,126,90,4,3,0,223,150,74,0,224,0,0,0,0,148,66,0,214,164,53,13,230
270010050,Glen Twp,0050,Glen Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,375,8,0,337,0,0,337,200,130,3,2,0,0,0,0,0,1,336,174,146,3,4,2,329,214,118,0,332,0,0,0,0,206,119,2,327,231,85,21,337
270010055,Haugen Twp,0055,Haugen Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,133,9,90,39,0,0,129,78,49,0,2,0,0,0,0,0,0,129,71,51,1,3,0,126,80,48,0,128,0,0,0,0,75,49,0,124,97,30,2,129
270010060,Hazelton Twp,0060,Hazelton Twp,Aitkin,1,8,10,10A,02,09,3001,no data,no data,no data,ImageCast Central,YES,685,23,0,600,1,0,601,390,196,1,3,0,0,0,0,1,5,596,355,223,11,5,0,594,390,199,0,589,0,0,0,0,383,191,0,574,416,141,44,601
270010065,Hill City,0065,Hill City,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Evolution,NO,347,60,267,54,0,0,321,212,105,2,1,1,0,0,0,0,0,321,168,136,6,4,0,314,201,112,0,313,0,0,0,0,201,108,0,309,249,53,19,321
270010070,Hill Lake Twp,0070,Hill Lake Twp,Aitkin,1,8,7,7A,05,09,3001,no data,no data,no data,ImageCast Central,YES,306,12,0,264,0,0,264,180,83,0,1,0,0,0,0,0,0,264,162,97,3,1,0,263,185,76,0,261,0,0,0,0,183,75,0,258,162,77,25,264
270010075,Idun Twp,0075,Idun Twp,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,164,7,0,140,0,0,140,100,35,1,4,0,0,0,0,0,0,140,94,40,0,4,0,138,101,38,0,139,0,0,0,0,99,37,0,136,101,31,8,140
270010080,Jevne Twp,0080,Jevne Twp,Aitkin,1,8,7,7A,04,09,3001,no data,no data,no data,ImageCast Evolution,NO,267,16,164,57,0,0,221,164,52,1,4,0,0,0,0,0,0,221,152,61,1,1,0,215,167,50,0,217,0,0,0,0,159,48,0,207,131,72,18,221
270010082,Unorg 45-24 (Jewett Unorg),0082,Jewett Unorg,Aitkin,1,8,10,10A,03,09,3001,no data,no data,no data,ImageCast Central,YES,22,0,0,18,0,0,18,13,5,0,0,0,0,0,0,0,0,18,13,5,0,0,0,18,13,5,0,18,0,0,0,0,9,5,3,17,9,9,0,18
